Codigo,Descripcion,Marca,Rubro,Subrubro,Categoria,CostoSinIVA,VentaSinIVA,Stock,Unidad
FE8890,BIASSONI-992273 PALA ESTAMPADA CUADRADA/PALEAR CABO DE CAÑO,Herramientas Manuales,Herramientas Manuales,Albañileria Y Plomeria,Albañileria Y Plomeria,16735.23,22592.56,12,Unidad
FE9179,KALLAY-STAR 225 CERROJO P/CORREDIZA HIE.ZINCADO 25X141   (36),Ferreteria General,Ferreteria General,Herrajes,Herrajes,18361.78,24788.40,12,Unidad
SA3359,ACQUA SYSTEM TERMOFUSION BUJE RED. 50X32MM   08-241050032,Acqua,Plomeria,Distribucion De Agua,Distribucion De Agua,1854.45,2503.51,12,Unidad
RV3574,CERAMICA PIU - GUARDA DE VIDRIO NEPAL HD  5X30   (16)*BAJA*,Ceramica,Pisos Y Revestimientos,Guardas Y Decorados,Guardas Y Decorados,1027.22,1386.75,12,Unidad
FE2895,VARILLAS ROSCADAS-WHIT DE HIERRO 1/8  NATURAL,Varillas,Ferreteria General,Fijaciones,Fijaciones,511.51,690.54,12,Unidad
SA9620,SIGAS TERMOFUSION NIPLE CORTO CON TOPE 32MM   60-280032000,Sigas,Plomeria,Distribucion De Gas,Distribucion De Gas,1355.80,1830.33,12,Unidad
FE5437,TYROLIT-3-31 DISCO PLANO REFORZADO 400X3.0X25.4 (15),Herramientas Electricas,Herramientas Electricas,Corte Herramientas Electricas,Corte Herramientas Electricas,8526.89,11511.31,12,Unidad
SA0605,PREMOL TAPA CHICA OCTOGONAL P/CAMARA INSPECCION (15KG),Premol,Albañileria,Premoldeados,Premoldeados,7789.24,10515.48,12,Unidad
SA2243,TIGRE TF TERMOFUSION TE NORMAL 50X50X50MM 22322559,Tigre,Plomeria,Distribucion De Agua,Distribucion De Agua,2492.27,3364.56,12,Unidad
CO2079,TUBO ESTRUCTURAL RECTANGULAR  L.C.  2.00  80 X 120,Tubo,Siderurgia,Tubo Laminado,Tubo Laminado,47299.67,63854.56,12,Unidad
